City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,gazanjyk,39.2446,55.5154,49.6,56,100,9.28,TM,1675607612
84,mataura,-46.1927,168.8643,58.24,78,100,5.61,NZ,1675607612
85,tual,-5.6667,132.75,80.94,80,100,14.14,ID,1675607356
86,sabang,5.8933,95.3214,81.64,70,95,5.55,ID,1675607613
87,avarua,-21.2078,-159.775,80.65,83,75,13.8,CK,1675607613
88,sena madureira,-9.0656,-68.6569,84.36,58,100,2.15,BR,1675607613
89,samarai,-10.6167,150.6667,79.39,86,100,12.68,PG,1675607614
90,celestun,20.8667,-90.4,72.82,81,86,10.16,MX,1675607614
91,tautira,-17.7333,-149.15,81.41,74,92,14.12,PF,1675607615
92,leningradskiy,69.3833,178.4167,-27.33,99,100,4.41,RU,1675607615
93,kayerkan,69.3497,87.7602,6.53,84,100,3.38,RU,1675607616
94,lorengau,-2.0226,147.2712,80.49,81,100,3.98,PG,1675607617
95,huarmey,-10.0681,-78.1522,73.89,77,83,5.35,PE,1675607617
96,torbay,47.6666,-52.7314,22.39,74,40,29.93,CA,1675607441
97,shingu,33.7333,135.9833,40.15,69,32,6.11,JP,1675607618
98,davila,18.4726,120.5763,76.5,77,65,6.76,PH,1675607618
99,butaritari,3.0707,172.7902,80.4,82,77,18.23,KI,1675607619
100,severo-kurilsk,50.6789,156.125,24.93,78,96,7.9,RU,1675607549
101,dalby,-27.1833,151.2667,71.98,68,83,3.0,AU,1675607619
102,juneau,58.3019,-134.4197,34.21,94,100,9.22,US,1675607469
103,kieta,-6.2167,155.6333,77.16,88,100,2.86,PG,1675607620
104,deder,9.3167,41.45,65.73,35,68,10.47,ET,1675607620
105,tynda,55.1667,124.7167,-14.57,99,99,1.95,RU,1675607621
106,velsk,61.0701,42.0983,3.92,100,83,0.85,RU,1675607621
107,khuzhir,53.1939,107.3397,4.95,86,53,4.23,RU,1675607622
108,morondava,-20.2833,44.2833,82.49,75,1,9.19,MG,1675607622
109,poltsamaa,58.6525,25.9706,26.83,78,100,10.18,EE,1675607623
110,rojhan,28.6868,69.9534,72.99,22,0,5.35,PK,1675607623
111,dongsheng,39.8161,109.9776,25.36,36,100,7.92,CN,1675607623
112,acapulco,16.8634,-99.8901,73.22,73,0,3.44,MX,1675607624
113,arraial do cabo,-22.9661,-42.0278,89.56,58,0,8.05,BR,1675607624
114,sioux lookout,50.1001,-91.917,5.07,85,100,3.44,CA,1675607625
115,geraldton,-28.7667,114.6,73.81,73,100,11.5,AU,1675607364
116,iqaluit,63.7506,-68.5145,-31.27,73,75,3.44,CA,1675607625
117,paracuru,-3.41,-39.0306,83.1,63,88,12.03,BR,1675607626
118,abu dhabi,24.4667,54.3667,71.71,72,0,6.91,AE,1675606939
119,hobyo,5.3505,48.5268,77.38,75,93,19.01,SO,1675607626
120,new norfolk,-42.7826,147.0587,58.5,62,92,3.0,AU,1675607627
121,hithadhoo,-0.6,73.0833,81.0,71,27,12.19,MV,1675607344
122,esfarayen,37.0765,57.5101,40.66,40,63,2.15,IR,1675607627
123,gorontalo,0.5412,123.0595,74.82,86,100,3.67,ID,1675607360
124,chokurdakh,70.6333,147.9167,-36.27,100,97,4.14,RU,1675607628
125,saskylakh,71.9167,114.0833,-38.38,100,100,4.09,RU,1675607565
126,mayo,38.8876,-76.5119,40.33,48,0,11.5,US,1675607629
127,iralaya,15.0,-83.2333,79.99,66,1,11.05,HN,1675607629
128,korla,41.7597,86.1469,30.18,68,100,2.26,CN,1675607630
129,padang,-0.9492,100.3543,71.65,83,100,4.14,ID,1675607630
130,kodiak,57.79,-152.4072,35.11,93,100,26.46,US,1675607630
131,georgetown,5.4112,100.3354,75.15,94,40,4.61,MY,1675607351
132,kaitangata,-46.2817,169.8464,57.2,96,100,5.03,NZ,1675607576
133,leshukonskoye,64.8989,45.7622,-1.3,99,96,4.32,RU,1675607631
134,lukavac,44.5334,18.527,30.78,51,75,6.91,BA,1675607632
135,christchurch,-43.5333,172.6333,70.0,52,0,3.44,NZ,1675607632
136,atuona,-9.8,-139.0333,78.33,75,5,18.03,PF,1675607403
137,ulaangom,49.9811,92.0667,-8.64,92,100,1.83,MN,1675607633
138,ploemeur,47.7333,-3.4333,54.86,72,75,12.66,FR,1675607633
139,batemans bay,-35.7167,150.1833,68.09,78,93,2.08,AU,1675607633
140,saint-andre-les-vergers,48.2853,4.0521,46.44,66,75,18.41,FR,1675607634
141,lagoa,39.05,-27.9833,59.38,83,69,21.36,PT,1675607634
142,lebu,-37.6167,-73.65,66.07,75,33,14.61,CL,1675607628
143,yar-sale,66.8333,70.8333,-5.78,100,99,7.16,RU,1675607635
144,bilasipara,26.232,90.2347,66.74,47,0,5.03,IN,1675607636
145,mushie,-3.0167,16.9,89.29,50,98,0.58,CD,1675607636
146,linguere,15.3953,-15.1193,90.5,8,6,7.92,SN,1675607637
147,dryden,49.7833,-92.7503,5.29,78,75,4.61,CA,1675607637
148,esperance,-33.8667,121.9,69.35,64,44,20.49,AU,1675607637
149,saravena,6.9538,-71.8752,78.44,71,73,3.18,CO,1675607638
